dataset,prompt_type,question,ground_truth,model_response,f1_score,exact_match,reasoning_steps,has_has_step_keywords,has_has_calculation,has_has_conclusion,has_is_coherent
multihop,standard,The Dogwoman telemovies were created by an actress born in what year?,1961,"The Dogwoman telemovies were created by actress and writer, **Kerry Ann McKinnon**, who was born in **1967**.",0.0,False,0,False,False,False,False
multihop,standard,Who fills in occasionally for the meteorologist who replaced  Ginger Zee ?,Kait Parker,"The meteorologist who occasionally fills in for Ginger Zee is Rob Marciano. He is known for his work on ABC's ""Good Morning America"" and has stepped in for Zee when needed.",0.0,False,0,False,False,False,True
multihop,standard,In Ancient Egyptian religion how would a citizen be weighted to decide if they where worthy of damnation and would face the torment in the lake of fire ?,against the feather of truth,"In Ancient Egyptian religion, the process of determining a person's worthiness for the afterlife involved a significant ritual known as the ""Weighing of the Heart."" This ceremony was crucial in deciding whether a soul would be granted passage to the afterlife or face punishment.

Here’s how the process worked:

1. **Death and Preparation**: After a person died, their body was mummified, and they were buried with various items to aid them in the afterlife.

2. **Journey to the Afterlife**: The deceased would embark on a journey through the Duat (the underworld), where they would encounter various challenges and deities.

3. **The Weighing of the Heart**: Upon reaching the Hall of Ma'at, the deceased would stand before the god Osiris and a panel of other deities. Their heart, which was believed to be the seat of the soul and the center of a person's being, would be weighed against the feather of Ma'at, the goddess of truth and justice.

4. **The Scale**: The heart was placed on one side of a scale, while the feather was placed on the other. This scale represented the balance between the individual's deeds in life and the principles of truth and justice.

5. **Judgment**: 
   - If the heart was lighter than the feather, it indicated that the person had lived a virtuous life, free from wrongdoing. They would be deemed worthy and allowed to enter the afterlife, where they could enjoy eternal peace.
   - If the heart was heavier than the feather, it signified that the individual had committed sins and led a life contrary to Ma'at. In this case, the heart would be devoured by Ammit, a fearsome creature that was part crocodile, lion, and hippopotamus. This act would result in the soul facing eternal torment, often described as a form of damnation.

6. **Outcome**: The ultimate goal for the deceased was to achieve a favorable judgment, allowing them to join the company of the blessed in the Field of Reeds, a paradise-like afterlife.

This ritual underscored the importance of moral conduct and the belief in an afterlife where one's actions in life had significant consequences.",0.14285714285714285,False,6,False,False,False,True
multihop,standard,Which town near the county border with North Yorkshire was this Lancashire mill (closed in 1979 and demolished) located?,Barnoldswick,"The town you are referring to is likely ""Colne."" Colne is located near the border with North Yorkshire and is known for its historical textile mills, many of which have closed over the years, including one that closed in 1979 and was subsequently demolished. If you need more specific information or details about the mill, feel free to ask!",0.0,False,0,False,False,False,True
multihop,standard,"The Prodigal Daughter, though a book about an American, is by a novelist of what nationality?",English,"The Prodigal Daughter is written by the American novelist Jeffrey Archer. Therefore, the nationality of the novelist is American.",0.0,False,0,True,False,True,False
multihop,standard,At what height does State Route 160 start?,4145 ft,"State Route 160 begins at an elevation of approximately 1,000 feet (305 meters) at its southern terminus in the vicinity of the town of Alamo, Nevada. If you need more specific information or details about a particular segment of the route, please let me know!",0.0,False,3,False,False,False,True
multihop,standard,The alcoholic drink that shares a name with Quintessentially Unreal's 1996 album is commonly reffered to in historical literature as what?,the green fairy,"The alcoholic drink that shares a name with Quintessentially Unreal's 1996 album is ""Absinthe."" In historical literature, absinthe is often referred to as ""the Green Fairy"" due to its distinctive green color and the mythos surrounding its effects and cultural significance.",0.0,False,0,False,False,False,True
multihop,standard,"What actor replaced the Welch actor born in 1978 who played Robin Hood in the first season of ""Once upon a Time""?",Sean Maguire,"The actor who played Robin Hood in the first season of ""Once Upon a Time"" was Tom Ellis, who was born in 1978. He was later replaced by Sean Maguire, who took over the role in the second season.",0.09756097560975609,True,2,True,False,False,True
multihop,standard,"Which year was the more recent engine series, the Honda K or Honda H, introduced?",2001,"The more recent engine series is the Honda K series, which was introduced in 2001. The Honda H series was introduced earlier, in 1994. Therefore, the Honda K series is the more recent of the two.",0.05405405405405406,True,0,True,False,True,True
multihop,standard,Who is the film dedicated to that Paramount Classics and MTV Films co-purchased the rights to?,Sam Phillips,"The film is dedicated to the late actor Heath Ledger. Paramount Classics and MTV Films co-purchased the rights to the film ""The Imaginarium of Doctor Parnassus,"" which was one of Ledger's final projects before his untimely death.",0.0,False,0,False,False,False,True
multihop,standard,What are some foods that may have been served at the Hawaiin Cottage?,"poi, Kalua pig, poke, lomi salmon, opihi, haupia","The Hawaiian Cottage, often associated with Hawaiian-themed restaurants or events, typically features a menu inspired by traditional Hawaiian cuisine. Here are some foods that may have been served at such a place:

1. **Poke** - A traditional Hawaiian dish made with diced raw fish, often seasoned with soy sauce, sesame oil, and green onions.

2. **Loco Moco** - A comfort food dish consisting of rice topped with a hamburger patty, a fried egg, and brown gravy.

3. **Kalua Pig** - Slow-cooked pork that is traditionally prepared in an underground oven (imu), resulting in tender, smoky meat.

4. **Spam Musubi** - A sushi-like snack made with a slice of Spam on top of rice, wrapped in seaweed.

5. **Huli Huli Chicken** - Grilled chicken marinated in a sweet and savory sauce, often cooked over an open flame.

6. **Poi** - A traditional Hawaiian staple made from taro root that is cooked and pounded into a smooth, sticky paste.

7. **Macaroni Salad** - A popular side dish in Hawaiian cuisine, typically made with elbow macaroni, mayonnaise, and various mix-ins like carrots and celery.

8. **Tropical Fruits** - Fresh fruits such as pineapple, mango, papaya, and coconut are often featured in Hawaiian dishes or served as desserts.

9. **Haupia** - A coconut milk-based dessert that is often served as a pudding or in pie form.

10. **Ahi Tuna** - Fresh tuna, often served as sashimi or grilled, is a popular seafood choice in Hawaiian cuisine.

These dishes reflect the diverse influences of Hawaiian culture, including native Hawaiian, Asian, and American flavors.",0.0,False,10,False,False,False,True
multihop,standard,In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?,1945,"The coach who led the 2007 South Carolina Gamecocks football team was Steve Spurrier. He was born on April 20, 1945.",0.0909090909090909,True,2,False,False,False,True
multihop,standard,What team did Travis Cortez Mays play on which currently compete in the Big 12 Conference.?,Texas Longhorns men's basketball team,"Travis Cortez Mays played for the University of Texas at Austin, which currently competes in the Big 12 Conference.",0.08,False,0,False,False,False,False
multihop,standard,"Which film does ""Naked Weapon"" follow in the ""Naked"" series?","""Naked Killer""","""Naked Weapon"" follows the film ""Naked Killer"" in the ""Naked"" series.",0.3076923076923077,True,0,False,False,False,False
multihop,standard,Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design,"David Hersey received the Tony Award for Best Lighting Design for his work on the play ""Equus"" by Peter Shaffer.",0.1739130434782609,False,0,False,False,False,False
multihop,standard,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,Ethel Houbiers is known for being the French voice of the Mexican and American film actress Salma Hayek.,0.1904761904761905,False,0,False,False,False,False
multihop,standard,"What mine was operated by Royal Oak Mines at at earlier date, Kemess Mine or Colomac Mine?",The Colomac Mine,"The Colomac Mine was operated by Royal Oak Mines at an earlier date than the Kemess Mine. The Colomac Mine began production in the late 1980s, while the Kemess Mine started operations in the late 1990s.",0.0,False,0,False,False,False,True
multihop,standard,Are The Man from Snowy River II and Miracle of the White Stallions filmed in different countries?,yes,"Yes, ""The Man from Snowy River II"" and ""Miracle of the White Stallions"" were filmed in different countries. 

""The Man from Snowy River II,"" also known as ""Return to Snowy River,"" was filmed in Australia, specifically in the picturesque landscapes of the Australian Alps.

On the other hand, ""Miracle of the White Stallions"" was filmed in Austria, primarily at the Spanish Riding School in Vienna, which is known for its classical dressage and the Lipizzaner horses.

So, to summarize, ""The Man from Snowy River II"" was filmed in Australia, while ""Miracle of the White Stallions"" was filmed in Austria, making them productions from different countries.",0.0,False,0,False,False,True,True
